order_id,user_id,order_date,order_status,pay_amount,order_month
o300000,u100974,2023-09-23,refunded,0.0,2023-09
o300001,u114381,2024-10-24,completed,9713.08,2024-10
o300002,u102904,2024-12-22,completed,13936.58,2024-12
o300003,u109389,2024-12-09,completed,539.87,2024-12
o300004,u113982,2024-12-20,shipped,749.06,2024-12
o300005,u100589,2023-02-18,completed,2987.84,2023-02
o300006,u108312,2023-04-23,completed,3035.64,2023-04
o300007,u110867,2024-11-29,cancelled,355.06,2024-11
o300008,u109280,2024-04-23,completed,1596.18,2024-04
o300009,u103868,2024-05-25,completed,494.98,2024-05
o300010,u108132,2024-04-10,completed,2019.07,2024-04
o300011,u102258,2023-08-14,completed,1243.38,2023-08
o300012,u111733,2024-12-28,completed,656.98,2024-12
o300013,u114427,2024-11-08,shipped,9752.26,2024-11
o300014,u104672,2024-01-31,completed,6117.2,2024-01
o300015,u107621,2024-08-31,completed,2803.34,2024-08
o300016,u103713,2024-07-21,shipped,221.47,2024-07
o300017,u105691,2024-06-14,completed,754.45,2024-06
o300018,u119836,2024-12-29,completed,706.67,2024-12
o300019,u105532,2024-05-24,completed,373.22,2024-05
o300020,u117220,2024-09-12,completed,2536.27,2024-09
o300021,u118510,2023-11-27,completed,8447.89,2023-11
o300022,u105690,2024-03-12,completed,449.32,2024-03
o300023,u106686,2024-08-20,completed,7263.12,2024-08
o300024,u118555,2024-12-27,completed,1900.25,2024-12
o300025,u100709,2024-12-30,completed,538.19,2024-12
o300026,u116061,2024-12-04,completed,224.34,2024-12
o300027,u106404,2024-12-07,completed,20.0,2024-12
o300028,u107443,2023-06-15,completed,4492.09,2023-06
o300029,u110265,2024-12-24,completed,242.95,2024-12
o300030,u118044,2024-12-29,completed,15182.81,2024-12
o300031,u105800,2023-10-26,shipped,3039.22,2023-10
o300032,u106899,2024-07-07,completed,6681.81,2024-07
o300033,u103994,2024-04-08,completed,830.85,2024-04
o300034,u115198,2024-11-13,completed,2116.13,2024-11
o300035,u107478,2023-07-24,completed,1537.37,2023-07
o300036,u119086,2024-11-09,completed,392.64,2024-11
o300037,u115871,2024-12-14,completed,1810.9,2024-12
o300038,u101130,2023-06-14,completed,1088.14,2023-06
o300039,u118720,2023-10-25,shipped,890.42,2023-10
o300040,u119151,2023-06-19,completed,25926.22,2023-06
o300041,u115873,2024-12-04,completed,170.84,2024-12
o300042,u110879,2023-02-01,completed,1397.43,2023-02
o300043,u114806,2024-12-22,completed,1244.72,2024-12
o300044,u104247,2024-07-27,completed,1115.6,2024-07
o300045,u119093,2023-10-08,completed,888.78,2023-10
o300046,u115628,2023-07-23,completed,300.25,2023-07
o300047,u107780,2023-07-27,shipped,4551.33,2023-07
o300048,u118996,2023-12-05,completed,2142.37,2023-12
o300049,u106426,2023-04-23,completed,1324.94,2023-04
o300050,u107123,2024-12-01,completed,83188.89,2024-12
o300051,u119751,2023-12-11,completed,1781.88,2023-12
o300052,u102348,2023-01-22,completed,256.16,2023-01
o300053,u114261,2024-11-30,completed,1694.51,2024-11
o300054,u119580,2024-08-27,completed,209.88,2024-08
o300055,u113755,2023-02-15,completed,3536.95,2023-02
o300056,u110864,2023-10-19,completed,1855.73,2023-10
o300057,u108767,2024-01-30,completed,640.03,2024-01
o300058,u103363,2024-12-28,completed,598.45,2024-12
o300059,u107334,2024-05-04,completed,1896.08,2024-05
o300060,u117277,2024-10-22,completed,228.73,2024-10
o300061,u104783,2024-11-24,completed,925.86,2024-11
o300062,u109833,2024-07-18,completed,2023.26,2024-07
o300063,u100839,2023-05-20,completed,16.08,2023-05
o300064,u106209,2024-12-27,completed,956.43,2024-12
o300065,u108683,2024-05-24,completed,1911.17,2024-05
o300066,u117558,2023-08-16,completed,4184.5,2023-08
o300067,u111507,2024-11-21,completed,433.64,2024-11
o300068,u107996,2024-12-20,completed,137.73,2024-12
o300069,u108116,2024-11-08,completed,1771.56,2024-11
o300070,u108532,2024-05-21,completed,44.66,2024-05
o300071,u116531,2024-12-30,refunded,0.0,2024-12
o300072,u109402,2023-05-19,completed,758.61,2023-05
o300073,u104197,2023-07-18,completed,28.44,2023-07
