user_id,gender,age,register_date,city,member_level
u100000,M,25,2023-02-22,Xi'an,None
u100001,F,36,2024-07-14,Hangzhou,Platinum
u100002,F,42,2024-06-12,Chongqing,None
u100003,F,22,2024-05-12,Chengdu,None
u100004,M,45,2024-09-30,Nanjing,None
u100005,M,30,2023-06-04,Chengdu,None
u100006,M,24,2024-05-04,Xi'an,None
u100007,F,38,2023-03-19,Xi'an,None
u100008,F,28,2023-06-23,Nanjing,None
u100009,F,31,2024-09-09,Shenzhen,Silver
u100010,M,28,2023-11-16,Beijing,Silver
u100011,F,25,2023-02-01,Shenzhen,None
u100012,F,37,2023-10-19,Guangzhou,None
u100013,M,29,2024-06-05,Beijing,None
u100014,M,20,2023-11-11,Chongqing,Silver
u100015,M,36,2024-09-05,Shenzhen,None
u100016,M,22,2024-09-21,Nanjing,None
u100017,F,22,2024-10-30,Shanghai,Platinum
u100018,M,41,2023-09-24,Nanjing,Silver
u100019,M,22,2024-02-26,Hangzhou,Silver
u100020,F,18,2023-09-02,Xi'an,None
u100021,M,36,2024-08-13,Shanghai,None
u100022,M,29,2024-11-02,Hangzhou,None
u100023,M,30,2023-04-01,Hangzhou,None
u100024,M,29,2024-03-11,Hangzhou,Silver
u100025,F,33,2024-10-02,Guangzhou,Silver
u100026,M,25,2024-05-03,Hangzhou,None
u100027,F,43,2023-01-14,Xi'an,Silver
u100028,F,20,2023-10-13,Guangzhou,None
u100029,M,35,2024-11-01,Shanghai,None
u100030,F,37,2024-10-02,Wuhan,Silver
u100031,M,25,2024-11-16,Guangzhou,None
u100032,M,23,2024-02-02,Chengdu,Silver
u100033,F,40,2024-11-16,Chengdu,None
u100034,F,24,2024-03-02,Shanghai,Silver
u100035,F,27,2023-12-27,Shanghai,None
u100036,M,39,2023-02-12,Hangzhou,None
u100037,M,32,2023-10-21,Shanghai,Platinum
u100038,F,18,2023-12-11,Hangzhou,Silver
u100039,M,45,2024-09-12,Nanjing,Silver
u100040,M,27,2023-08-30,Shenzhen,None
u100041,F,28,2023-02-24,Chongqing,None
u100042,M,34,2024-07-20,Shenzhen,None
u100043,F,37,2024-12-28,Guangzhou,None
u100044,M,47,2024-03-17,Beijing,Platinum
u100045,F,18,2023-04-17,Shenzhen,None
u100046,M,38,2023-11-09,Guangzhou,Silver
u100047,F,37,2023-07-03,Wuhan,Silver
u100048,F,30,2023-05-10,Chengdu,None
u100049,M,38,2024-05-13,Nanjing,None
u100050,F,39,2024-09-27,Guangzhou,None
u100051,F,20,2024-02-22,Guangzhou,Silver
u100052,F,45,2023-02-18,Hangzhou,None
u100053,F,19,2023-11-16,Chongqing,Gold
u100054,F,22,2023-09-10,Shenzhen,None
u100055,F,29,2024-01-27,Wuhan,None
u100056,M,47,2023-03-10,Guangzhou,Platinum
u100057,M,29,2024-03-17,Chengdu,None
u100058,M,31,2024-04-21,Beijing,Silver
u100059,M,43,2024-01-12,Beijing,None
u100060,M,29,2024-07-17,Wuhan,None
u100061,M,22,2024-06-28,Nanjing,None
u100062,F,28,2024-06-15,Beijing,None
u100063,M,42,2023-07-06,Hangzhou,Silver
u100064,M,32,2024-11-30,Shanghai,Gold
u100065,F,47,2024-12-03,Beijing,Silver
u100066,M,37,2023-04-22,Chongqing,None
u100067,F,26,2023-07-03,Chengdu,Platinum
u100068,M,32,2023-10-20,Chengdu,Gold
u100069,Unknown,25,2023-12-27,Shanghai,Silver
u100070,F,26,2024-05-16,Chengdu,None
u100071,M,67,2023-11-03,Nanjing,None
u100072,M,40,2024-10-10,Shenzhen,Silver
u100073,F,38,2023-03-27,Shanghai,None
u100074,F,27,2023-10-23,Chengdu,Platinum
u100075,F,44,2024-03-27,Hangzhou,Silver
u100076,F,40,2023-06-20,Wuhan,None
u100077,M,47,2023-12-22,Xi'an,Silver
u100078,M,46,2024-04-04,Chongqing,None
u100079,M,20,2023-10-06,Wuhan,None
u100080,F,23,2023-09-09,Nanjing,None
u100081,F,23,2023-01-08,Xi'an,Gold
u100082,M,24,2024-08-08,Xi'an,None
u100083,M,34,2023-11-16,Hangzhou,Gold
u100084,M,27,2023-05-31,Guangzhou,Silver
u100085,M,48,2024-08-27,Wuhan,Silver
u100086,F,47,2024-01-11,Guangzhou,Gold
u100087,F,31,2023-12-31,Beijing,Gold
u100088,F,47,2024-08-30,Shenzhen,None
u100089,M,43,2024-03-15,Xi'an,Gold
u100090,M,28,2023-05-22,Wuhan,None
u100091,F,18,2024-08-14,Hangzhou,None
u100092,F,30,2023-01-20,Guangzhou,None
u100093,F,26,2023-01-12,Guangzhou,Gold
u100094,F,33,2024-09-27,Nanjing,None
u100095,F,32,2023-05-02,Chengdu,None
u100096,F,32,2024-02-29,Guangzhou,Silver
u100097,M,36,2023-08-17,Beijing,Silver
u100098,M,22,2024-08-19,Xi'an,None
u100099,M,35,2023-01-29,Chengdu,None
u100100,M,28,2023-05-15,Nanjing,None
u100101,F,33,2024-07-05,Chongqing,Silver
u100102,M,39,2023-04-11,Xi'an,None
u100103,F,22,2024-01-11,Shenzhen,None
u100104,F,29,2024-10-07,Chengdu,None
u100105,M,31,2023-11-07,Guangzhou,Silver
u100106,M,27,2024-03-15,Nanjing,Gold
u100107,F,39,2024-11-23,Beijing,None
u100108,M,26,2024-04-01,Wuhan,None
u100109,M,27,2023-07-19,Guangzhou,Silver
u100110,M,26,2024-12-21,Shenzhen,None
u100111,M,40,2024-08-22,Chongqing,Silver
u100112,F,28,2023-05-05,Shenzhen,None
u100113,F,35,2024-04-15,Nanjing,Gold
u100114,F,47,2023-01-22,Nanjing,Silver
u100115,F,31,2023-02-19,Shenzhen,Silver
u100116,F,40,2024-12-26,Hangzhou,None
u100117,M,45,2024-07-13,Wuhan,None
u100118,F,40,2023-03-07,Chongqing,None
u100119,F,31,2023-05-10,Shenzhen,Silver
u100120,F,37,2023-10-29,Beijing,None
u100121,F,21,2023-11-23,Nanjing,Silver
u100122,M,25,2024-01-19,Shanghai,Gold
u100123,M,27,2024-06-21,Guangzhou,None
u100124,M,49,2024-12-03,Wuhan,None
u100125,M,25,2023-02-18,Shanghai,None
u100126,F,25,2023-11-15,Shanghai,Platinum
u100127,F,23,2023-01-21,Shenzhen,Platinum
u100128,M,36,2024-03-08,Hangzhou,None
u100129,F,33,2024-08-13,Chongqing,None
u100130,M,40,2024-08-14,Shanghai,None
u100131,M,37,2023-01-09,Xi'an,None
u100132,M,20,2023-05-29,Shanghai,Silver
u100133,M,25,2024-03-12,Xi'an,Silver
u100134,F,42,2024-05-13,Nanjing,None
u100135,M,30,2023-02-24,Guangzhou,None
u100136,F,41,2023-10-24,Xi'an,None
u100137,F,30,2024-06-01,Xi'an,Silver
u100138,M,24,2024-12-04,Hangzhou,None
u100139,F,29,2023-08-17,Shanghai,None
u100140,F,24,2023-09-04,Nanjing,None
u100141,M,27,2023-10-09,Shenzhen,None
u100142,F,33,2023-09-14,Shenzhen,None
u100143,M,36,2023-04-03,Nanjing,None
u100144,M,19,2023-08-02,Chengdu,Platinum
u100145,M,31,2024-07-06,Beijing,None
u100146,F,27,2024-10-29,Guangzhou,None
u100147,F,26,2023-05-13,Nanjing,None
u100148,M,33,2024-05-11,Xi'an,Gold
u100149,M,27,2023-03-27,Xi'an,Gold
u100150,F,43,2024-08-18,Nanjing,None
u100151,M,41,2024-01-31,Chengdu,None
u100152,M,41,2024-06-30,Shenzhen,None
u100153,F,28,2023-09-06,Xi'an,None
u100154,Unknown,24,2024-09-28,Hangzhou,Silver
u100155,M,32,2024-07-17,Chongqing,None
u100156,F,30,2023-10-16,Shanghai,Silver
u100157,F,27,2024-02-13,Guangzhou,None
u100158,M,22,2023-11-05,Nanjing,None
u100159,F,31,2023-03-02,Shenzhen,Silver
u100160,M,28,2024-05-18,Nanjing,None
u100161,F,37,2024-06-10,Chengdu,Gold
u100162,F,37,2023-11-07,Beijing,None
u100163,F,40,2024-11-23,Chongqing,None
u100164,M,21,2023-07-19,Guangzhou,None
u100165,F,35,2023-12-19,Xi'an,Silver
u100166,M,26,2023-03-16,Shenzhen,Silver
u100167,M,22,2023-09-28,Chengdu,Gold
u100168,M,28,2023-01-21,Shanghai,Silver
u100169,F,40,2023-02-05,Chongqing,None
u100170,F,29,2023-07-17,Wuhan,None
u100171,M,44,2023-06-02,Beijing,Silver
u100172,F,36,2023-02-13,Shenzhen,Silver
u100173,M,28,2024-10-02,Hangzhou,None
u100174,F,41,2024-07-07,Wuhan,None
u100175,M,35,2024-06-28,Shenzhen,None
u100176,F,24,2024-05-24,Shanghai,Silver
u100177,M,46,2024-02-20,Shenzhen,Silver
u100178,F,34,2024-02-13,Beijing,None
u100179,M,32,2023-10-23,Wuhan,Silver
u100180,M,25,2024-09-18,Xi'an,Gold
u100181,M,41,2023-07-22,Guangzhou,Silver
u100182,F,36,2024-07-29,Wuhan,None
u100183,F,37,2024-01-03,Xi'an,Silver
u100184,M,27,2024-03-01,Wuhan,None
u100185,F,38,2023-07-29,Shanghai,None
u100186,F,39,2024-08-20,Shanghai,None
u100187,F,26,2024-04-04,Chongqing,None
u100188,F,20,2023-12-28,Shenzhen,None
